Symbol,Trade DATE,NOCP
COST,5/9/2019,243.47
COST,5/8/2019,241.34
COST,5/7/2019,240.18
COST,5/6/2019,244.23
COST,5/3/2019,244.62
COST,5/2/2019,242.69
COST,5/1/2019,241.59
COST,4/30/2019,245.53
COST,4/29/2019,244.28
COST,4/26/2019,243.82
COST,4/25/2019,245.6
COST,4/24/2019,247.96
COST,4/23/2019,245.58
COST,4/22/2019,243.42
COST,4/18/2019,245.81
COST,4/17/2019,245.56
COST,4/16/2019,245.34
COST,4/15/2019,246.33
COST,4/12/2019,241.95
COST,4/11/2019,241.24
COST,4/10/2019,245.61
COST,4/9/2019,244.91
COST,4/8/2019,246.52
COST,4/5/2019,245.87
COST,4/4/2019,244.4
COST,4/3/2019,242.48
COST,4/2/2019,240.5
COST,4/1/2019,244.19
COST,3/29/2019,242.14
COST,3/28/2019,241.22
COST,3/27/2019,239.41
COST,3/26/2019,239.07
COST,3/25/2019,236.97
COST,3/22/2019,237.56
COST,3/21/2019,239.54
COST,3/20/2019,236.98
COST,3/19/2019,237.05
COST,3/18/2019,236.59
COST,3/15/2019,233.6
COST,3/14/2019,233.84
COST,3/13/2019,236.38
COST,3/12/2019,232.96
COST,3/11/2019,229.69
COST,3/8/2019,227.82
COST,3/7/2019,216.79
COST,3/6/2019,219.23
COST,3/5/2019,219.82
COST,3/4/2019,218.41
COST,3/1/2019,219.44
COST,2/28/2019,218.74
COST,2/27/2019,218.05
COST,2/26/2019,217.61
COST,2/25/2019,217.05
COST,2/22/2019,216.29
COST,2/21/2019,215.23
COST,2/20/2019,217.11
COST,2/19/2019,218.12
COST,2/15/2019,216.47
COST,2/14/2019,213.84
COST,2/13/2019,212.8
COST,2/12/2019,211.9
COST,2/11/2019,208.72
COST,2/8/2019,207.75
COST,2/7/2019,209.05
COST,2/6/2019,211.6
COST,2/5/2019,211.61
COST,2/4/2019,211.18
COST,2/1/2019,210.27
COST,1/31/2019,214.63
COST,1/30/2019,211.35
COST,1/29/2019,210.31
COST,1/28/2019,210.77
COST,1/25/2019,209.07
COST,1/24/2019,210.31
COST,1/23/2019,212.09
COST,1/22/2019,212.4
COST,1/18/2019,213.59
COST,1/17/2019,211.46
COST,1/16/2019,210.18
COST,1/15/2019,211.03
COST,1/14/2019,209
COST,1/11/2019,210.51
COST,1/10/2019,210.64
COST,1/9/2019,209.9
COST,1/8/2019,208.55
COST,1/7/2019,207
COST,1/4/2019,206.24
COST,1/3/2019,200.42
COST,1/2/2019,204.76
COST,12/31/2018,203.71
COST,12/28/2018,202.04
COST,12/27/2018,201.08
COST,12/26/2018,198.63
COST,12/24/2018,189.99
COST,12/21/2018,194.52
COST,12/20/2018,197.13
COST,12/19/2018,201.41
COST,12/18/2018,202.99
COST,12/17/2018,202.23
COST,12/14/2018,207.06
COST,12/13/2018,226.51
COST,12/12/2018,227.8
COST,12/11/2018,226.5
COST,12/10/2018,222.66
COST,12/7/2018,224.86
COST,12/6/2018,233.2
COST,12/4/2018,226.35
COST,12/3/2018,232.08
COST,11/30/2018,231.28
COST,11/29/2018,231
COST,11/28/2018,230.34
COST,11/27/2018,223.01
COST,11/26/2018,219.45
COST,11/23/2018,220.06
COST,11/21/2018,218.57
COST,11/20/2018,219.31
COST,11/19/2018,228.74
COST,11/16/2018,231.02
COST,11/15/2018,229.94
COST,11/14/2018,233.31
COST,11/13/2018,234.14
COST,11/12/2018,234.48
COST,11/9/2018,237.74
COST,11/8/2018,238.7
COST,11/7/2018,240.37
COST,11/6/2018,236.71
COST,11/5/2018,234.45
COST,11/2/2018,230.16
COST,11/1/2018,229.6
COST,10/31/2018,228.63
COST,10/30/2018,227.92
COST,10/29/2018,222.42
COST,10/26/2018,218.19
COST,10/25/2018,226.4
COST,10/24/2018,223.76
COST,10/23/2018,228.75
COST,10/22/2018,229.06
COST,10/19/2018,229.67
COST,10/18/2018,228.58
COST,10/17/2018,228.49
COST,10/16/2018,227.68
COST,10/15/2018,224.51
COST,10/12/2018,226.95
COST,10/11/2018,221.82
COST,10/10/2018,221.05
COST,10/9/2018,224.17
COST,10/8/2018,223.93
COST,10/5/2018,218.82
COST,10/4/2018,231.68
COST,10/3/2018,233.2
COST,10/2/2018,236.35
COST,10/1/2018,234.65
COST,9/28/2018,234.88
COST,9/27/2018,234
COST,9/26/2018,233.81
COST,9/25/2018,232.93
COST,9/24/2018,233.34
COST,9/21/2018,234.76
COST,9/20/2018,233.92
COST,9/19/2018,233.85
COST,9/18/2018,234.35
COST,9/17/2018,232
COST,9/14/2018,235.38
COST,9/13/2018,241.27
COST,9/12/2018,242.44
COST,9/11/2018,244.21
COST,9/10/2018,243.18
COST,9/7/2018,241.46
COST,9/6/2018,236.68
COST,9/5/2018,235.61
COST,9/4/2018,234.68
COST,8/31/2018,233.13
COST,8/30/2018,230.83
COST,8/29/2018,230.19
COST,8/28/2018,230.26
COST,8/27/2018,230.03
COST,8/24/2018,231.28
COST,8/23/2018,229.51
COST,8/22/2018,229.21
COST,8/21/2018,228.54
COST,8/20/2018,227.35
COST,8/17/2018,225.68
COST,8/16/2018,223.19
COST,8/15/2018,221.67
COST,8/14/2018,222
COST,8/13/2018,219.56
COST,8/10/2018,220.31
COST,8/9/2018,218.24
COST,8/8/2018,224.58
COST,8/7/2018,223.86
COST,8/6/2018,222.72
COST,8/3/2018,222.03
COST,8/2/2018,221.12
COST,8/1/2018,217.13
COST,7/31/2018,218.71
COST,7/30/2018,219.11
COST,7/27/2018,219.65
COST,7/26/2018,221.72
COST,7/25/2018,220.7
COST,7/24/2018,218.58
COST,7/23/2018,218.84
COST,7/20/2018,218.69
COST,7/19/2018,217.54
COST,7/18/2018,214.97
COST,7/17/2018,215
COST,7/16/2018,214.85
COST,7/13/2018,216.54
COST,7/12/2018,214.02
COST,7/11/2018,210.95
COST,7/10/2018,211.7
COST,7/9/2018,210.94
COST,7/6/2018,209.62
COST,7/5/2018,209.14
COST,7/3/2018,207.12
COST,7/2/2018,207.99
COST,6/29/2018,208.98
COST,6/28/2018,208.71
COST,6/27/2018,210.03
COST,6/26/2018,210.09
COST,6/25/2018,211.75
COST,6/22/2018,211.1
COST,6/21/2018,209.96
COST,6/20/2018,207.98
COST,6/19/2018,207.53
COST,6/18/2018,206.21
COST,6/15/2018,207.32
COST,6/14/2018,205.12
COST,6/13/2018,204.11
COST,6/12/2018,204.88
COST,6/11/2018,204.5
COST,6/8/2018,203.76
COST,6/7/2018,202.57
COST,6/6/2018,197.66
COST,6/5/2018,197.84
COST,6/4/2018,198.62
COST,6/1/2018,197.13
COST,5/31/2018,198.24
COST,5/30/2018,199.64
COST,5/29/2018,196.74
COST,5/25/2018,198.36
COST,5/24/2018,198.89
COST,5/23/2018,198.14
COST,5/22/2018,198.97
COST,5/21/2018,199.62
COST,5/18/2018,198.96
COST,5/17/2018,199.6
COST,5/16/2018,198.71
COST,5/15/2018,195.48
COST,5/14/2018,195.88
COST,5/11/2018,195.76
